artist,title,play_count,mbid
Neutral Milk Hotel,In the Aeroplane Over the Sea,165,20a73cb3-a5c2-48d6-8acf-0f79d96d5935
Snail Mail,Golden Dream,165,2239bbe3-28c8-4504-9bb7-307b6b6c5d87
Snail Mail,Intro,165,0495a272-5a4c-45fd-815b-a2338f6c5624
Daniel Caesar,Get You (feat. Kali Uchis),163,
Dave,Location (feat. Burna Boy),163,
Kanye West,Blood on the Leaves,163,8fae029e-cf26-4747-8abf-42bebc204922
Rex Orange County,Never enough,163,644d32b0-cdaa-4490-80ad-b4c19b1a1545
Vince Staples,Summertime,163,07d17bfe-3219-48d3-951a-57e22e0efd52
Clairo,4EVER,162,3a8e5ec6-b206-4aa0-90b5-eb7088d48a96
Dominic Fike,King of Everything,162,7e19a657-fb8c-4701-9090-d0b171cf6bf6
Extremely Bad Man,Up with the Birdies,162,36623a00-3158-4246-a546-99b831cc0780
Julien Baker,Me & My Dog,162,
The Weeknd,Blinding Lights,162,
Daniel Caesar,We Find Love,161,17eb1858-d43c-45ab-931e-dbec1354313b
orion sun,without you (interlude),161,
Tanukichan,Sundays,161,4aa41bee-9917-4067-96b4-229a427cd7be
Wolf Alice,Lipstick on the Glass,161,566a8f5c-825b-4819-bc38-766c20b4bef7
Snail Mail,Stick,160,006759aa-c243-4b89-a835-cbbdd943bfdb
The Technicolors,Space Cadet,160,
Frank Ocean,Moon River,159,d00083b0-2043-45b3-a3fe-753754067e3a
Não Ao Futebol Moderno,Janeiro,159,
orion sun,Coffee For Dinner,159,86a78206-ed3f-45cb-a520-1ef88cc2caa3
The Weeknd,Scared to Live,159,41c6309b-fec9-4a7d-85ec-be87dab4339c
Clairo,Sofia,158,5860a83e-3655-41eb-a5af-10abf2f7bb7d
Kendrick Lamar,Alright,158,7b0ec18e-1a09-40fd-925a-917dff4bde3f
Lorde,Green Light,158,
orion sun,pressure,158,
The Technicolors,Hologram,158,
Wolf Alice,Safe From Heartbreak (If You Never Fall in Love),158,126b233d-362c-40e2-8661-4bf60a389749
Frank Ocean,Comme des Garçons,157,2cd757ee-8810-4c17-a8d2-59b8347d98a5
Samia,Big Wheel,157,00c6fddf-63b8-46bd-9b1e-6412d392e1c1
Tame Impala,It Is Not Meant to Be,157,2c506e19-7b39-332e-a3d5-ec96e3b5ab01
Vampire Weekend,Flower Moon (feat. Steve Lacy),157,
A Tribe Called Quest,Can I Kick It?,156,874c5d7f-ed09-4405-b8aa-c26c3510633b
Bumper,You Can Get It,156,fc06bd2d-bd78-4f69-b9cc-0b356fc9592f
Car Seat Headrest,Fill in the Blank,156,633c2760-c1c0-471c-b50d-25c84465ae0e
Daniel Caesar,Best Part (feat. H.E.R.),156,
Faye Webster,Cheers,156,0819aecd-4813-4687-a057-48411c6d12cc
SZA,Good Days,156,dc80e9a0-8282-4bea-8cdb-a7acdeb7f692
Bumper,Black Light,155,f611171e-e94d-46e0-97a2-3812e5184484
Mitski,My Body's Made of Crushed Little Stars,155,0d064dd6-f23e-412d-a1a9-e4b1a35cfd06
Alvvays,Atop a Cake,154,1c5f7240-21d6-4d00-bbb4-5c48248908be
Drake,"Hold On, We're Going Home",154,4c7b7b4e-df4e-4aeb-a148-9ccf27b6168b
Mac Miller,Dang! (feat. Anderson .Paak),154,
Snail Mail,Deep Sea,154,0a0c6a58-8163-4fea-bec4-2e76cbb18949
Telenova,Bones,154,f5a35de0-c4cc-4c0e-afae-5517b14396a8
Vampire Weekend,Mary Boone,154,16019f47-e5f4-4aac-92fa-07f5c9d4f574
Frank Ocean,Slide on Me,153,12a0f81e-1baf-4a1c-96d5-9bdadbbea23f
A Tribe Called Quest,The Space Program,152,003a5424-3759-4b51-8bed-c7247459f7f0
BROCKHAMPTON,SWIM,152,65dd48dc-43eb-4aa4-a644-fff155a44793
Frank Ocean,Sierra Leone,152,77ca0761-9bc8-48c3-8942-b8ae2eab1023
Lana Del Rey,Norman fucking Rockwell,152,7b244b2a-3097-4276-8ce3-06920c1afa44
Lianne La Havas,Weird Fishes,152,04ca30c5-d091-453b-a99f-49fb1272c2e2
MJ Lenderman,Joker Lips,152,04bc96de-4051-4699-b0d0-b1820dd6beb1
Xiu Xiu,A Bottle of Rum,152,7374a429-1181-4476-b205-e3423b6275c6
Indigo De Souza,Boys,151,
Rosario,all these mountains,151,
Drake,One Dance,150,4cdcf557-237c-42cf-a605-afca46b0cdf4
Extremely Bad Man,Venice,150,ec15e4ae-c23c-43f2-a1ef-38e95a969d16
Frank Ocean,Lost,150,88429f7d-3407-4a8c-8741-e072e03fc71f
Indigo De Souza,How I Get Myself Killed,150,9570234d-5360-46a1-841b-9e73280d8976
Japanese Breakfast,In Hell,150,5a1ad147-5341-451e-97d5-e6ff6d835377
Lorde,Supercut,150,e39d4ebc-59db-4b9c-9e07-18d9d3eee387
